sep=;
Version CSV1|Tool WEBBOX|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox)
;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox
;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;24108;24108;24108;24108;24108;25449;25449;25449;25449;25449;25464;25464;25464;25464;25464;25562;25562;25562;25562;25562
;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.GriSwCnt;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health
;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Counter;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status
dd.MM.yyyy HH:mm;m/s;°C;W/m²;°C;h;h;kWh;;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;
09.01.2014 00:00;0,17;-198,50;0,00;24,60;72187,24;91163,14;59418,00;25645,00;Ok;0,68;25,30;0,00;24,50;Ok;0,00;-273,10;1,00;24,30;Ok;0,00;-273,10;0,00;25,70;Ok;0,00;-273,10;0,00;24,00;Ok
09.01.2014 00:05;0,13;-198,50;0,00;24,70;72187,24;91163,14;59418,00;25645,00;Ok;0,52;25,30;0,00;24,50;Ok;0,00;-273,10;1,00;24,40;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,00;Ok
09.01.2014 00:10;0,23;-198,50;0,00;24,70;72187,24;91163,14;59418,00;25645,00;Ok;0,92;25,30;0,00;24,50;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,10;Ok
09.01.2014 00:15;0,36;-198,50;0,00;24,70;72187,24;91163,14;59418,00;25645,00;Ok;1,44;25,30;0,00;24,50;Ok;0,00;-273,10;1,00;24,40;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,10;Ok
09.01.2014 00:20;0,41;-198,50;0,00;24,70;72187,24;91163,14;59418,00;25645,00;Ok;1,66;25,30;0,00;24,40;Ok;0,00;-273,10;1,00;24,30;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,20;Ok
