sep=;
Version CSV1|Tool WEBBOX|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox)
;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 3800;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SB 2500;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox
;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;155015309;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025690;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025691;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025697;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2002025715;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352583;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;2000352586;24108;24108;24108;24108;24108;25449;25449;25449;25449;25449;25464;25464;25464;25464;25464;25562;25562;25562;25562;25562
;DcMs.Amp[A];DcMs.Vol[A];Env.HorWSpd;Env.TmpVal;Env.TotInsol;GridMs.A.phsA;GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Mdul.TmpVal;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.GriSwCnt;Operation.Health;DcMs.Amp[A];DcMs.Vol[A];GridMs.A.phsA;GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.Evt.Msg;Operation.Evt.Prio;Operation.GriSwCnt;Operation.Health;DcMs.Amp[A];DcMs.Vol[A];GridMs.A.phsA;GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.Evt.Msg;Operation.Evt.Prio;Operation.GriSwCnt;Operation.Health;DcMs.Amp[A];DcMs.Vol[A];GridMs.A.phsA;GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.Evt.Msg;Operation.Evt.Prio;Operation.GriSwCnt;Operation.Health;DcMs.Amp[A];DcMs.Vol[A];GridMs.A.phsA;GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.Evt.Msg;Operation.Evt.Prio;Operation.GriSwCnt;Operation.Health;DcMs.Amp[A];DcMs.Vol[A];GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.Evt.Msg;Operation.Evt.Prio;Operation.GriSwCnt;Operation.Health;DcMs.Amp[A];DcMs.Vol[A];GridMs.Hz;GridMs.PhV.phsA;GridMs.TotW;Isolation.LeakRis;Metering.TotFeedTms;Metering.TotOpTms;Metering.TotWhOut;Operation.Evt.Msg;Operation.Evt.Prio;Operation.GriSwCnt;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health
;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Counter;Status;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Status;Status;Counter;Status;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Status;Status;Counter;Status;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Status;Status;Counter;Status;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Status;Status;Counter;Status;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Status;Status;Counter;Status;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Status;Status;Counter;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status
dd.MM.yyyy HH:mm;A;V;m/s;°C;W/m²;A;Hz;V;W;kOhm;°C;h;h;kWh;;;A;V;A;Hz;V;W;kOhm;h;h;kWh;;;;;A;V;A;Hz;V;W;kOhm;h;h;kWh;;;;;A;V;A;Hz;V;W;kOhm;h;h;kWh;;;;;A;V;A;Hz;V;W;kOhm;h;h;kWh;;;;;A;V;Hz;V;W;kOhm;h;h;kWh;;;;;A;V;Hz;V;W;kOhm;h;h;kWh;;;;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;
10.01.2014 17:20;;;;;;;;;;2779,83;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;1679,00;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.2014 17:25;;;;;;;;;;2774,00;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;1644,00;;;;;;;;;;;;;3000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.2014 17:30;0,03;305,16;0,00;-198,20;2,00;0,02;41,76;207,73;7,00;2772,33;25,70;66146,02;83310,65;53155,02;23624,00;Ok;0,00;305,00;0,00;0,00;0,00;0,00;3000,00;6872,91;8519,95;7271,70;EvtAcV;PrioC;4208,00;Alm;0,08;211,00;0,03;49,96;251,32;7,00;3000,00;5977,49;8585,40;6645,51;NoneMsg;NonePrio;2711,00;Ok;0,08;210,00;0,04;50,09;248,74;10,00;3000,00;7147,59;8607,96;8472,41;NoneMsg;NonePrio;3717,00;Ok;0,00;350,00;0,00;49,97;250,96;0,00;3000,00;5598,39;8576,74;6991,25;NoneMsg;NonePrio;3489,00;Ok;0,00;379,00;49,96;246,88;-1,00;1634,00;20516,50;24572,15;12863,72;NoneMsg;NonePrio;4801,00;Ok;0,00;333,00;49,95;247,19;-1,00;3000,00;20033,15;24448,44;10910,41;NoneMsg;NonePrio;4698,00;Ok;0,00;26,10;5,00;25,00;Ok;0,00;-273,10;2,00;25,50;Ok;0,00;-273,10;1,00;26,60;Ok;0,00;-273,10;0,00;25,00;Ok
10.01.2014 17:35;0,03;298,00;0,00;-198,30;2,00;0,02;41,65;207,51;15,00;2771,00;25,50;66146,19;83311,16;53155,02;23624,00;Ok;0,00;299,00;0,00;0,00;0,00;0,00;3000,00;6872,91;8520,03;7271,70;EvtAcV;PrioC;4208,00;Alm;0,06;209,00;0,02;50,18;251,04;5,00;3000,00;5977,58;8585,48;6645,51;NoneMsg;NonePrio;2711,00;Ok;0,08;207,00;0,03;49,97;248,70;9,00;3000,00;7147,67;8608,04;8472,41;NoneMsg;NonePrio;3717,00;Ok;0,00;342,00;0,00;50,18;250,39;0,00;3000,00;5598,39;8576,83;6991,25;NoneMsg;NonePrio;3489,00;Ok;0,00;370,00;50,17;246,88;-1,00;1626,00;20516,50;24572,24;12863,72;NoneMsg;NonePrio;4801,00;Ok;0,00;323,00;49,95;247,19;-1,00;3000,00;20033,15;24448,53;10910,41;NoneMsg;NonePrio;4698,00;Ok;0,00;25,90;4,00;24,80;Ok;0,00;-273,10;2,00;25,30;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,80;Ok
10.01.2014 17:40;0,02;291,66;0,00;-198,30;1,00;0,01;41,74;207,36;12,00;2769,33;25,30;66146,36;83311,65;53155,02;23624,00;Ok;0,00;295,00;0,00;0,00;0,00;0,00;3000,00;6872,91;8520,12;7271,70;EvtAcV;PrioC;4208,00;Alm;0,06;208,00;0,02;50,01;250,06;4,00;3000,00;5977,66;8585,57;6645,52;NoneMsg;NonePrio;2711,00;Ok;0,07;206,00;0,02;50,18;247,54;7,00;3000,00;7147,76;8608,13;8472,42;NoneMsg;NonePrio;3717,00;Ok;0,00;336,00;0,00;50,00;249,53;0,00;3000,00;5598,39;8576,91;6991,25;NoneMsg;NonePrio;3489,00;Ok;0,00;363,00;50,00;245,84;-1,00;1616,00;20516,50;24572,32;12863,72;NoneMsg;NonePrio;4801,00;Ok;0,00;316,00;50,09;246,96;-1,00;3000,00;20033,15;24448,61;10910,41;NoneMsg;NonePrio;4698,00;Ok;0,04;25,90;3,00;24,70;Ok;0,00;-273,10;2,00;25,30;Ok;0,00;-273,10;0,00;26,20;Ok;0,00;-273,10;0,00;24,70;Ok
