sep=;
Version CSV1|Tool WEBBOX|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox)
;WebBox-20;WebBox-20;WebBox-20;WebBox-20;WebBox-20;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox;SensorBox
;155015309;155015309;155015309;155015309;155015309;24108;24108;24108;24108;24108;25449;25449;25449;25449;25449;25464;25464;25464;25464;25464;25562;25562;25562;25562;25562
;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health;Env.HorWSpd;Env.TmpVal;Env.TotInsol;Mdul.TmpVal;Operation.Health
;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status
dd.MM.yyyy HH:mm;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;;m/s;°C;W/m²;°C;
18.01.2014 20:35;0,00;-198,70;0,00;23,70;Ok;0,00;24,50;0,00;23,00;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,30;Ok
18.01.2014 20:40;0,00;-198,70;0,00;23,70;Ok;0,00;24,50;0,00;23,00;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,30;Ok
18.01.2014 20:45;0,00;-198,60;0,00;23,60;Ok;0,00;24,60;0,00;22,90;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,30;Ok
18.01.2014 20:50;0,00;-198,70;0,00;23,70;Ok;0,00;24,50;0,00;22,90;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,30;Ok
18.01.2014 20:55;0,00;-198,70;0,00;23,60;Ok;0,00;24,50;0,00;22,90;Ok;0,00;-273,10;0,00;23,90;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;23,30;Ok
18.01.2014 21:00;0,00;-198,70;0,00;23,60;Ok;0,00;24,50;0,00;22,90;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;23,30;Ok
18.01.2014 21:05;0,00;-198,60;0,00;23,70;Ok;0,00;24,60;0,00;23,10;Ok;0,00;-273,10;0,00;23,90;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;23,50;Ok
18.01.2014 21:10;0,00;-198,70;0,00;23,80;Ok;0,00;24,50;0,00;23,20;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,50;Ok
18.01.2014 21:15;0,00;-198,70;0,00;23,80;Ok;0,00;24,40;0,00;23,20;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,50;Ok
18.01.2014 21:20;0,00;-198,70;0,00;23,70;Ok;0,00;24,40;0,00;23,10;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,50;Ok
18.01.2014 21:25;0,00;-198,70;0,00;23,70;Ok;0,04;24,50;0,00;23,10;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 21:30;0,00;-198,60;0,00;23,70;Ok;0,02;24,60;0,00;23,20;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 21:35;0,00;-198,70;0,00;23,70;Ok;0,00;24,50;0,00;23,00;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 21:40;0,04;-198,70;0,00;23,70;Ok;0,17;24,50;0,00;23,10;Ok;0,00;-273,10;0,00;23,90;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 21:45;0,04;-198,60;0,00;23,80;Ok;0,17;24,60;0,00;23,10;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 21:50;0,00;-198,60;0,00;23,80;Ok;0,00;24,60;0,00;23,00;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 21:55;0,10;-198,60;0,00;23,80;Ok;0,40;24,60;0,00;23,10;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;23,60;Ok
18.01.2014 22:00;0,03;-198,60;0,00;23,90;Ok;0,13;24,60;0,00;23,20;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,70;Ok
18.01.2014 22:05;0,01;-198,60;0,00;23,90;Ok;0,07;24,60;0,00;23,30;Ok;0,00;-273,10;0,00;23,90;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,80;Ok
18.01.2014 22:10;0,01;-198,60;0,00;23,80;Ok;0,02;24,60;0,00;23,30;Ok;0,00;-273,10;0,00;23,70;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,80;Ok
18.01.2014 22:15;0,02;-198,60;0,00;23,80;Ok;0,08;24,60;0,00;23,30;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,80;Ok
18.01.2014 22:20;0,00;-198,60;0,00;23,80;Ok;0,00;24,60;0,00;23,30;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,80;Ok
18.01.2014 22:25;0,00;-198,60;0,00;23,80;Ok;0,00;24,60;0,00;23,40;Ok;0,00;-273,10;0,00;23,70;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,80;Ok
18.01.2014 22:30;0,00;-198,60;0,00;23,90;Ok;0,00;24,60;0,00;23,50;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;23,90;Ok
18.01.2014 22:35;0,00;-198,70;0,00;23,80;Ok;0,00;24,50;0,00;23,40;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,90;Ok
